Prod Line,05/01/2026,12/01/2026,19/01/2026,26/01/2026,02/02/2026,09/02/2026,16/02/2026,23/02/2026,02/03/2026,09/03/2026,16/03/2026,23/03/2026,30/03/2026,06/04/2026,13/04/2026,20/04/2026,27/04/2026,04/05/2026,11/05/2026,18/05/2026,25/05/2026,01/06/2026,08/06/2026,15/06/2026,22/06/2026,29/06/2026,06/07/2026,13/07/2026,20/07/2026,27/07/2026,03/08/2026,10/08/2026,17/08/2026,24/08/2026,31/08/2026,07/09/2026,14/09/2026,21/09/2026,28/09/2026,05/10/2026,12/10/2026,19/10/2026,26/10/2026,02/11/2026,09/11/2026,16/11/2026,23/11/2026,30/11/2026,07/12/2026,14/12/2026,21/12/2026,00/01/1900
B_FG,0,1878,3298,3037,2879,2456,1820,3746,4596,5143,5335,5453,5949,4853,5182,6614,5401,6888,7025,7162,7299,7436,7573,7710,7847,7984,8121,8258,0,0,9796,9582,10125,8322,8837,8596,9111,8870,9385,9219,26289,25764,27056,17327,18236,17327,18236,17327,18236,17327,18236,0
F_FG,0,6549,5524,6501,6501,8670,4552,8670,8220,8220,7273,7273,7273,5277,5277,6596,5277,5896,5896,5896,5896,5896,5896,5896,5896,5896,5896,5896,0,0,5896,5896,5896,5896,5896,5896,5896,5896,6234,8640,36446,36446,36446,36446,36446,36446,36512,36512,1341,1341,1341,0
P_FG,0,1645,2478,3513,4006,3274,1964,3274,3274,2562,2800,2460,2800,3124,3124,2800,3124,2800,3904,2800,3904,2800,3904,2800,3904,2800,3904,2800,0,0,2462,4242,3138,4242,3138,4242,3138,4242,4242,3158,1202,1202,1608,1608,1608,1608,1608,1608,1608,1608,1608,0
V_FG,0,19680,20490,20072,21029,21356,13165,20832,21668,20748,22436,22147,22915,18906,19912,23849,20536,24984,26276,25610,26530,25610,26347,25614,25986,26408,26661,14711,0,0,16915,30976,30976,30976,32897,33256,33256,33833,33833,21926,20750,21941,21941,17771,17771,17771,17771,17771,17771,17771,17771,0
T_FG,0,0,0,977,1221,3541,2417,4517,5006,5494,5983,6471,6959,5958,6349,4151,3516,4640,4884,5128,5372,5616,5860,6105,6105,6105,6105,6105,0,0,6105,6105,6105,6105,6105,6105,6105,6105,6105,6105,0,0,0,0,0,0,0,0,0,0,0,0
Z_FG,0,4800,4730,5360,5045,5990,3647,6147,6217,6724,6794,6864,6934,5603,5658,7143,5770,6357,6392,6427,6462,6304,6338,6373,6408,6443,6443,6443,4626,0,872,1817,3920,3920,3920,3605,3605,3605,3605,3079,2207,2207,2207,1829,1829,1829,1829,1829,1829,1829,1829,0
G_FG,0,357,380,354,0,0,397,691,720,749,791,832,853,699,732,915,732,915,915,915,915,915,915,915,915,915,0,0,0,0,0,0,0,0,0,0,0,0,0,832,832,832,832,832,832,832,832,832,832,832,872,0
U_FG,0,2678,2678,2901,2678,2678,1607,2678,2678,2678,2678,2678,2678,2142,2142,2678,2142,2916,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,0,0,3043,2922,2922,2922,2922,2922,2800,2901,15087,15087,15087,15087,15087,15087,15087,15087,15087,15087,15087,11639
E_FG,0,1027,1275,1921,1174,1199,685,1154,1154,1212,1223,1235,1246,1015,1015,1269,1015,1269,1269,1269,1269,1269,1269,1269,0,0,0,0,1269,1269,0,1269,1269,1269,1269,1269,1269,1269,1269,1484,4451,4451,4451,4451,4451,4451,4451,178,178,178,178,4939
R_FG,0,1499,1499,1624,1499,1499,900,1499,1499,1499,1499,1499,1499,1199,1199,1499,1199,1499,1636,1636,1636,1636,1636,1636,1636,1636,1636,0,0,0,0,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,6008
H_FG,0,3883,5261,5261,5261,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K_FG,0,1683,1760,1798,1322,1322,794,1283,514,206,800,1346,1346,1077,757,946,1077,946,1346,946,946,1892,2415,2415,2034,2034,2034,2514,0,0,2495,2034,2495,2034,2034,2034,2514,2495,2514,6991,5512,5512,5512,5512,5512,5512,5512,5512,5512,5512,5512,0
C_FG,0,5287,5287,5642,5287,5287,3535,5287,5890,5890,5890,5287,5890,4713,4713,5890,4713,5890,5890,5890,5890,5890,5536,5536,5536,5181,5181,2768,2768,2413,3017,355,355,2768,2768,2768,2768,2768,2768,2555,2555,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,0
L_FG,0,508,254,406,406,508,305,508,508,508,508,508,508,406,406,795,693,867,867,1226,1226,1226,1226,1226,1226,1226,1226,1226,0,0,1226,1584,1584,1584,1584,1584,1584,1584,1584,3348,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,0
J_FG,0,495,495,495,495,495,297,495,495,656,656,839,862,708,727,931,763,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,0,0,1413,1413,1413,1413,1413,1511,1511,1511,1511,1420,1089,1089,1089,1089,1089,1386,1386,1386,1386,1386,1386,0
M_FG,0,27249,24929,29597,32318,33581,21640,38225,37920,36357,37106,37259,37539,30814,30764,39077,31212,39293,39573,39698,39823,39948,39073,40775,42366,42663,42962,43261,0,0,44730,45029,45172,45316,45459,45603,45747,45890,46034,34330,59322,25189,25189,25189,25189,26407,26407,36707,36707,34179,34179,0
N_FG,0,23083,18030,24022,28517,29293,17792,31171,31413,31447,32772,33426,34449,27206,27630,34739,27953,34384,34586,34788,35043,35191,35340,36246,36471,36569,36667,36765,0,0,38331,38475,38618,37910,38004,38099,38193,38288,38382,21662,21662,40965,40965,40965,40965,34465,34465,33901,33901,33901,33901,0
O_FG,0,2109,2109,2109,2557,2557,1265,2109,2109,2109,2524,2524,2524,2020,2378,2524,2378,2972,2972,2524,2524,2614,3566,3029,3982,3445,3982,3982,0,0,3982,3982,3982,3982,3982,3982,3982,3982,3774,2856,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,0
A_FG,0,6000,7025,8645,10006,10956,7034,11896,14026,14675,16907,17837,18601,13978,14506,18539,14952,19172,20450,20505,21473,21473,21674,21995,21840,22310,22310,22630,1282,0,18122,24964,24964,25313,25313,25313,25313,22803,22803,11516,15140,15140,15140,15140,15140,15471,15471,15471,15471,15471,15471,0
