Production Line,Model,SEW/ASSY,Project_Key,19/01/2026,26/01/2026,02/02/2026,09/02/2026,16/02/2026,23/02/2026,02/03/2026,09/03/2026,16/03/2026,23/03/2026,30/03/2026,06/04/2026,13/04/2026,20/04/2026,27/04/2026,04/05/2026,11/05/2026,18/05/2026,25/05/2026,01/06/2026,08/06/2026,15/06/2026,22/06/2026,29/06/2026,06/07/2026,13/07/2026,20/07/2026,27/07/2026,03/08/2026,10/08/2026,17/08/2026,24/08/2026,31/08/2026,07/09/2026,14/09/2026,21/09/2026,28/09/2026,05/10/2026,12/10/2026,19/10/2026,26/10/2026,02/11/2026,09/11/2026,16/11/2026,23/11/2026,30/11/2026,07/12/2026,14/12/2026,21/12/2026
DAIMLER,BR223,SEW,DAIMLER_BR223_SEW,2465,2583,1910,2191,1479,3443,3952,4461,4578,4696,4813,3944,4273,5478,4492,5752,5889,6026,6163,6300,6437,6574,6574,6574,6574,6574,0,0,7889,7889,7889,6574,6574,6574,6574,6574,6574,6711,19174,19557,19941,16873,16873,16873,16873,16873,16873,16873,16873
DAIMLER,BR223 LTH,SEW,DAIMLER_BR223 LTH_SEW,833,454,492,265,341,303,644,682,757,757,1136,909,909,1136,909,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,0,0,757,379,757,379,757,379,757,379,757,454,1363,454,1363,454,1363,454,1363,454,1363,454,1363
FIAT,J516 / VINYL,SEW,FIAT_J516 / VINYL_SEW,4872,5414,5414,5414,3248,5414,5414,5414,4737,4737,4737,3248,3248,4060,3248,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,3722,0,0,3722,3722,3722,3722,3722,3722,3722,3722,4060,7444,35729,35729,35729,35729,35729,35729,35729,35729,558,558,558
FIAT,J516 / FABRIC,SEW,FIAT_J516 / FABRIC_SEW,652,1087,1087,2174,1304,2174,2174,2174,2174,2174,2174,1739,1739,2174,1739,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,0,0,2174,2174,2174,2174,2174,2174,2174,2174,2174,1196,717,717,717,717,717,717,783,783,783,783,783
PORSCHE,PO426 ARM,SEW,PORSCHE_PO426 ARM_SEW,680,340,680,680,408,680,680,340,680,340,680,544,544,680,544,680,680,680,680,680,680,680,680,680,680,680,0,0,680,680,680,680,680,680,680,680,680,1020,612,612,612,612,612,612,612,612,612,612,612
PORSCHE,PO426 Gueset,SEW,PORSCHE_PO426 Gueset_SEW,884,2209,2209,1105,663,1105,1105,1105,1105,1105,1105,1768,1768,1105,1768,1105,2209,1105,2209,1105,2209,1105,2209,1105,2209,1105,0,0,1105,2209,1105,2209,1105,2209,1105,2209,2209,1326,265,265,265,265,265,265,265,265,265,265,265
PORSCHE,PO426 FHR&ROHR,SEW,PORSCHE_PO426 FHR&ROHR_SEW,914,964,1117,1489,893,1489,1489,1117,1015,1015,1015,812,812,1015,812,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,0,0,1015,1015,1015,1015,1015,1015,1015,1015,1015,812,325,325,731,731,731,731,731,731,731,731,731
Volvo PIP,EX30 PIP Outer,SEW,Volvo PIP_EX30 PIP Outer_SEW,2413,2547,3277,3604,1966,3277,3277,3277,3277,3277,3277,2621,2621,3277,2621,3277,3277,3277,3277,3277,3128,2979,2979,2979,2979,2979,0,0,2979,2979,2979,2979,2979,2979,2979,2979,2979,2621,4051,5242,5242,1072,1072,1072,1072,1072,1072,1072,1072
Volvo PIP,EX30 PIP Center,SEW,Volvo PIP_EX30 PIP Center_SEW,633,1001,1650,1650,825,1031,1031,1031,1031,1375,1375,1100,1100,1375,1100,1375,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,0,0,1031,1031,1031,1031,1031,1031,1031,1031,1031,0,0,0,0,0,0,0,0,0,0,0,0
Nissan,P13A PIP,SEW,Nissan_P13A PIP_SEW,0,977,1221,3541,2417,4517,5006,5494,5983,6471,6959,5958,6349,4151,3516,4640,4884,5128,5372,5616,5860,6105,6105,6105,6105,6105,0,0,6105,6105,6105,6105,6105,6105,6105,6105,6105,6105,0,0,0,0,0,0,0,0,0,0,0
Citroen,C4 PIP,SEW,Citroen_C4 PIP_SEW,0,0,0,349,262,506,576,645,715,785,855,740,795,1064,907,593,628,663,698,733,767,802,837,872,872,872,0,0,872,872,872,872,872,872,872,872,872,872,0,0,0,0,0,0,0,0,0,0,0
Nissan,PZ1D,SEW,Nissan_PZ1D_SEW,380,354,0,0,397,691,720,749,791,832,853,699,732,915,732,915,915,915,915,915,915,915,915,915,0,0,0,0,0,0,0,0,0,0,0,0,0,832,832,832,832,832,832,832,832,832,832,832,872
CV,MAN,SEW,CV_MAN_SEW,2678,2901,2678,2678,1607,2678,2678,2678,2678,2678,2678,2142,2142,2678,2142,2916,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,3043,0,0,3043,2922,2922,2922,2922,2922,2800,2901,15087,15087,15087,15087,15087,15087,15087,15087,15087,15087,15087
CV,Scania,SEW,CV_Scania_SEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV,Scania FL,SEW,CV_Scania FL_SEW,1275,1921,1174,1199,685,1154,1154,1212,1223,1235,1246,1015,1015,1269,1015,1269,1269,1269,1269,1269,1269,1269,0,0,0,0,1269,1269,0,1269,1269,1269,1269,1269,1269,1269,1269,1484,4451,4451,4451,4451,4451,4451,4451,178,178,178,178
CV,Renault,SEW,CV_Renault_SEW,1499,1624,1499,1499,900,1499,1499,1499,1499,1499,1499,1199,1199,1499,1199,1499,1636,1636,1636,1636,1636,1636,1636,1636,1636,0,0,0,0,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363
Renault,BJA,SEW,Renault_BJA_SEW,3216,3216,2727,2727,1636,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP Press,BJA,SEW,SBP Press_BJA_SEW,2045,2045,2864,4091,2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIA,CD/CTE,ASSY,KIA_CD/CTE_ASSY,1029,1029,514,514,309,514,514,206,0,0,0,0,0,0,0,0,0,0,0,546,546,546,546,546,546,546,0,0,546,546,546,546,546,546,546,546,546,2314,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389
KIA,CD/CTE,SEW,KIA_CD/CTE_SEW,731,769,808,808,485,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,923,462,462,462,462,0,0,923,462,923,462,462,462,462,923,462,923,369,369,369,369,369,369,369,369,369,369,369
KIA,SZ1E,ASSY,KIA_SZ1E_ASSY,0,0,0,0,0,0,0,0,0,546,546,437,437,546,437,546,546,546,546,546,546,546,546,546,546,546,0,0,546,546,546,546,546,546,546,546,546,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314
KIA,SZ1E,SEW,KIA_SZ1E_SEW,0,0,0,0,0,0,0,0,800,800,800,640,320,400,640,400,800,400,400,800,400,400,480,480,480,960,0,0,480,480,480,480,480,480,960,480,960,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
CDPO,P64/CR3/OV64,ASSY,CDPO_P64/CR3/OV64_ASSY,4223,4223,4223,4223,2896,4223,4826,4826,4826,4223,4826,3861,3861,4826,3861,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,2413,2413,2413,3017,0,0,2413,2413,2413,2413,2413,2413,2555,2555,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533
CDPO,P64/CR3/OV64,SEW,CDPO_P64/CR3/OV64_SEW,3470,3785,3785,4381,2629,4381,4381,4819,4819,4819,4819,3855,3855,4819,3855,4819,4819,4819,4819,4626,4626,4626,4626,4626,4626,4626,4626,0,0,0,2103,2103,2103,2103,2103,2103,2103,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,1262
CDPO,P74,ASSY,CDPO_P74_ASSY,1064,1419,1064,1064,639,1064,1064,1064,1064,1064,1064,852,852,1064,852,1064,1064,1064,1064,1064,710,710,710,355,355,355,355,0,0,355,355,355,355,355,355,355,355,0,0,0,0,0,0,0,0,0,0,0,0
CDPO,P74,SEW,CDPO_P74_SEW,1260,1575,1260,1260,756,1260,1260,1260,1260,1260,1260,1008,1008,1260,1008,945,945,945,945,945,945,945,945,945,945,945,0,0,0,945,945,945,945,630,630,630,630,945,945,945,945,567,567,567,567,567,567,567,567
JLR,L551,ASSY,JLR_L551_ASSY,254,406,406,508,305,508,508,508,508,508,508,406,406,508,406,508,508,508,508,508,508,508,508,508,508,508,0,0,508,508,508,508,508,508,508,508,508,1828,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097
JLR,L551,SEW,JLR_L551_SEW,495,495,495,495,297,495,495,495,495,495,495,396,396,495,396,495,495,495,495,495,495,495,495,495,495,495,0,0,495,495,495,495,495,593,593,593,593,593,593,593,593,593,593,890,890,890,890,890,890
MMA,ARM,ASSY,MMA_ARM_ASSY,3924,3924,3924,4905,2943,4905,4193,4193,4193,4193,4193,3914,3914,4892,3914,4892,4892,4892,4892,4892,4892,4892,4892,4892,4892,4892,0,0,4892,4892,4892,4892,4892,4892,4892,4892,4892,4193,7357,7357,7357,7357,7357,7357,7357,17657,17657,17657,17657
MMA,ARM,SEW,MMA_ARM_SEW,2254,3519,4303,4354,2643,4598,4649,4700,4608,4659,4709,3808,3849,4862,3930,4963,5014,5065,5116,5166,5217,5268,5395,5395,5395,5395,0,0,5395,5395,5395,5395,5395,5395,5395,5395,5395,1142,1142,1142,1142,1142,1142,685,685,685,685,685,685
MMA,2WAY,ASSY,MMA_2WAY_ASSY,5170,6367,6702,6702,4021,6702,6702,5745,5745,5745,5745,4596,4596,5745,4596,5745,5745,5745,5745,5745,5745,5745,7181,7324,7468,7612,0,0,8617,8761,8904,9048,9191,9335,9479,9622,9766,6319,6319,6319,6319,6319,6319,6319,6319,6319,6319,3791,3791
MMA,2WAY,SEW,MMA_2WAY_SEW,5576,5636,5848,5939,3673,6182,6242,6303,6364,6364,6364,5091,5333,6667,5333,5909,5909,5909,5909,5909,5909,6667,6667,6667,6667,6667,0,0,7939,7985,8030,8076,8121,8167,8212,8258,8303,7424,7424,26727,26727,26727,26727,5818,5818,5818,5818,5818,5818
MMA,CARRIER,ASSY,MMA_CARRIER_ASSY,4438,4438,4438,4438,3328,5547,5547,5547,5547,5547,5547,4438,4438,5547,4438,5547,5547,5547,5547,5547,5547,5547,5547,5547,5547,5547,0,0,5547,5547,5547,5547,5547,5547,5547,5547,5547,1591,955,955,955,955,955,955,955,955,955,955,955
MMA,4WAY,ASSY,MMA_4WAY_ASSY,1485,526,2785,2940,1764,4641,4796,4487,4641,4796,4951,4084,4208,5415,4456,5724,5879,5879,5879,5879,5879,7581,7736,7890,8045,8200,0,0,8664,8819,8819,8819,8819,8819,8819,8819,8819,1591,955,955,955,955,955,955,955,955,955,955,955
MMA,4WAY,SEW,MMA_4WAY_SEW,1469,1469,3697,3697,2262,3844,3917,3966,5264,5313,5435,4446,4544,5778,4701,5974,6072,6170,6268,6366,6464,6561,6659,6757,6855,6953,0,0,7247,7345,7443,7296,7345,7394,7443,7492,7541,1409,1409,1409,1409,1409,1409,1409,1409,845,845,845,845
MMA,ROHR,ASSY,MMA_ROHR_ASSY,5040,9000,9000,9000,6150,10375,10500,10625,10750,10875,11000,8900,9000,11375,9200,11625,11750,11875,12000,12125,11250,11250,11250,11250,11250,11250,0,0,11250,11250,11250,11250,11250,11250,11250,11250,11250,12833,35933,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
MMA,ROHR,SEW,MMA_ROHR_SEW,4781,8438,9430,9926,5956,10423,10423,10423,10423,10919,11526,9221,9221,11526,9221,11526,11526,11526,11526,11526,11526,11526,11526,11526,11526,11526,0,0,11526,11526,11526,10919,10919,10919,10919,10919,10919,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853
MMA,RCHR,ASSY,MMA_RCHR_ASSY,4187,4314,4441,4568,2817,4821,4948,5075,5202,5075,5075,4060,4060,5075,4060,5075,5075,5075,5075,5075,5075,5075,5075,5075,5075,5075,0,0,5075,5075,5075,5075,5075,5075,5075,5075,5075,6090,6090,6090,6090,6090,6090,7308,7308,7308,7308,7308,7308
MMA,RCHR,SEW,MMA_RCHR_SEW,3113,4076,4262,4447,2700,5008,5066,5125,5183,5241,5299,3896,3939,4976,4024,5082,5135,5188,5294,5294,5294,5294,5294,5294,5294,5294,0,0,5294,5294,5294,5294,5294,5294,5294,5294,5294,5718,5718,5718,5718,5718,5718,20584,20584,20584,20584,20584,20584
MMA,3RD ROW,ASSY,MMA_3RD ROW_ASSY,685,1028,1028,1028,617,1234,1234,685,1028,1028,1028,822,548,1028,548,685,685,685,685,685,685,685,685,685,685,685,0,0,685,685,685,685,685,685,685,685,685,1713,1713,1713,1713,1713,1713,1713,1713,1713,1713,1713,1713
MMA,3RD ROW,SEW,MMA_3RD ROW_SEW,837,884,977,930,558,1116,1116,930,930,930,1116,744,744,930,744,930,930,930,930,930,930,930,930,930,930,930,0,0,930,930,930,930,930,930,930,930,930,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116
Opel,ARM,ASSY,Opel_ARM_ASSY,447,447,895,895,268,447,447,447,447,447,447,358,716,447,716,895,895,447,447,537,1074,537,1074,537,1074,1074,0,0,1074,1074,1074,1074,1074,1074,1074,1074,1074,1610,966,966,966,966,966,966,966,966,966,966,966
Opel,FHR,ASSY,Opel_FHR_ASSY,1266,1266,844,844,759,1266,1266,1266,1266,1266,1266,1013,1013,1266,1350,1688,1688,1688,1688,1688,1856,1856,2228,2228,2228,2228,0,0,1856,1856,1856,1856,1856,1856,1856,1856,1856,2025,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215
Opel,FHR&ARM,SEW,Opel_FHR&ARM_SEW,1662,1662,1662,1662,997,1662,1662,1662,2077,2077,2077,1662,1662,2077,1662,2077,2077,2077,2077,2077,2492,2492,2908,2908,2908,2908,0,0,2908,2908,2908,2908,2908,2908,2908,2908,2700,1246,748,748,748,748,748,748,748,748,748,748,748
Volvo,ROHR,ASSY,Volvo_ROHR_ASSY,9594,9594,9594,9594,5756,9594,9594,9594,9594,9594,9594,7675,7675,9594,7675,9594,9594,9594,9594,9594,9594,9594,9594,9594,9594,0,0,0,0,9594,9594,9594,9594,9594,9594,9594,9594,2056,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234
Volvo,ROHR Insourcing,SEW,Volvo_ROHR Insourcing_SEW,1636,3068,0,3886,2792,5420,6188,6699,8652,9266,9880,6995,7405,10227,8182,10227,10227,10227,11250,11250,10625,10625,10625,10625,10625,10625,0,0,10625,10625,10625,10625,10625,10625,10625,10625,10625,0,0,0,0,0,0,0,0,0,0,0,0
Volvo,LOW SPEC,ASSY,Volvo_LOW SPEC_ASSY,3631,3631,3631,3631,2178,3631,3547,3547,3547,3547,3547,2838,2838,3547,2838,3547,3547,3547,3547,3547,3547,3547,3547,3547,3547,0,0,0,0,3547,3547,3547,3547,3547,3547,3547,3547,1252,751,751,751,751,751,751,751,751,751,751,751
Volvo,LOW SPEC,SEW,Volvo_LOW SPEC_SEW,3208,3565,4159,4159,2495,3565,3565,3565,3565,3565,3565,2852,2852,3565,2852,3565,3565,3565,3565,3565,3565,3565,3410,3410,3410,3410,0,0,0,3410,3410,3410,3410,3410,3410,3410,3410,3358,8731,8731,8731,8731,8731,8731,8731,8731,8731,8731,8731
Volvo,ROHR - NEW,ASSY,Volvo_ROHR - NEW_ASSY,192,192,192,192,576,192,192,192,960,960,960,768,768,960,768,960,960,960,960,960,960,960,960,960,960,960,0,0,960,960,960,960,2881,2881,2881,3458,3458,3458,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075
Volvo,ROHR - NEW,SEW,Volvo_ROHR - NEW_SEW,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,912,912,912,912,912,912,912,912,912,912,912
Volvo EX30,FHR,ASSY,Volvo EX30_FHR_ASSY,2761,1841,1841,1841,1105,1841,2761,1841,2761,1841,2761,1473,2209,1841,2209,1841,2761,1841,2761,1841,1841,920,920,920,920,0,0,0,0,920,920,920,920,920,920,920,920,1227,245,245,245,245,245,245,245,245,245,245,245
Volvo EX30,FHR,SEW,Volvo EX30_FHR_SEW,2012,2012,2012,2195,1317,2195,2195,2195,2195,2195,2195,1756,1756,2195,1756,2195,2195,2195,2195,2195,2195,2195,2195,1829,1829,1829,0,0,0,1829,1829,1829,1829,1829,1829,1829,1829,2561,3585,3585,3585,3585,3585,3585,3585,3585,3585,3585,3585
Volvo GPA,FHR,ASSY,Volvo GPA_FHR_ASSY,0,0,0,0,0,0,0,0,0,0,135,270,540,338,540,1013,1013,1013,1013,1013,1013,1013,1013,1013,1266,3377,0,0,3377,3377,3377,3377,3377,3377,3377,3377,3377,4221,8443,8443,8443,8443,8443,8443,8443,8443,8443,8443,8443
Volvo GPA,FHR,SEW,Volvo GPA_FHR_SEW,0,0,0,0,0,0,275,303,330,537,578,496,529,702,595,785,1101,1156,1101,1101,1927,1927,1927,1927,1927,1927,0,0,2753,2753,2753,2753,2753,2753,2753,2753,2753,661,264,264,264,264,264,595,595,595,595,595,595
Volvo GPA,ARM,ASSY,Volvo GPA_ARM_ASSY,0,0,0,0,0,0,0,0,0,0,0,287,287,215,287,253,253,507,507,507,507,844,844,1266,1266,1266,0,0,1689,1689,1689,1689,1689,1689,1689,1689,1689,2026,912,912,912,912,912,912,912,912,912,912,912
Volvo GPA,ARM,SEW,Volvo GPA_ARM_SEW,0,0,0,0,0,0,321,353,385,417,449,385,410,545,462,609,641,641,641,641,641,962,962,962,962,1282,1282,0,0,1603,1603,1603,1603,1603,1603,1603,1603,1154,692,692,692,692,692,692,692,692,692,692,692
Volvo GPA,ROHR,ASSY,Volvo GPA_ROHR_ASSY,0,0,0,0,0,0,0,0,0,287,0,574,574,718,574,718,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,0,0,1435,1435,1435,1435,1435,1794,1794,1794,1794,1520,912,912,912,912,912,912,912,912,912,912,912
Volvo GPA,ROHR,SEW,Volvo GPA_ROHR_SEW,0,0,0,0,0,0,349,384,419,454,489,419,447,594,503,996,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,0,0,1398,1398,1398,1747,1747,1747,1747,1747,1747,1258,755,755,755,755,755,755,755,755,755,755,755
Volvo GPA,SB,ASSY,Volvo GPA_SB_ASSY,0,0,0,0,0,0,0,0,0,0,0,287,287,718,574,718,1076,1076,1076,1076,1794,1794,1794,1794,1794,1794,0,0,3588,3588,3588,3588,3588,3588,3588,3588,3588,1520,912,912,912,912,912,912,912,912,912,912,912
Volvo GPA,SB,SEW,Volvo GPA_SB_SEW,0,0,0,0,0,0,418,460,502,544,586,502,535,711,602,795,1673,1673,1673,1673,1673,1673,1673,2509,2509,2509,0,0,3346,3346,3346,3346,3346,3346,3346,836,836,1004,201,201,201,201,201,201,201,201,201,201,201
JLR,EMA,ASSY,JLR_EMA_ASSY,0,0,0,0,0,0,0,0,0,0,0,0,0,287,287,359,359,718,718,718,718,718,718,718,718,718,0,0,718,1076,1076,1076,1076,1076,1076,1076,1076,1520,912,912,912,912,912,912,912,912,912,912,912
JLR,EMA,SEW,JLR_EMA_SEW,0,0,0,0,0,0,0,161,161,344,367,312,331,436,367,918,918,918,918,918,918,918,918,918,918,918,0,0,918,918,918,918,918,918,918,918,918,827,496,496,496,496,496,496,496,496,496,496,496
